date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2020-04-10,0,-39,-19,71,25,-100,0,100,-100,100,0,100,94,80,72,87,0,100,-55,-74,-46,76,100,100,-48,3,100,0,48,0
2020-04-13,89,-100,-60,-71,100,-19,100,-57,100,66,53,75,-94,-53,-72,13,0,100,18,100,52,100,79,-68,-100,-3,-11,61,40,0
2020-04-14,-35,100,-56,0,100,-13,100,-43,72,29,100,-69,0,-18,58,-21,0,91,79,100,89,16,-100,21,-100,0,25,-61,-49,91
2020-04-15,100,-17,-23,0,38,-81,-71,93,-83,-100,86,75,100,-9,71,-30,52,10,92,9,-90,-76,-83,-15,10,0,-14,0,-56,100
2020-04-16,9,1,-100,30,-100,25,100,100,59,-31,-100,3,79,0,-52,100,9,100,38,15,-29,100,100,-35,-10,0,69,100,34,32
2020-04-17,-20,-72,100,100,18,60,-18,-42,-100,-79,-55,-100,100,0,99,96,100,-17,-2,100,-100,-71,-40,100,-52,100,80,36,53,-86
2020-04-20,2,-37,-56,-22,10,-65,81,100,30,-81,-84,-28,-61,0,-19,-100,33,41,59,-67,-100,-41,-44,-48,70,-65,-74,-100,64,100
2020-04-21,100,-51,100,-58,-38,-14,51,39,100,-100,0,29,30,0,-39,33,97,100,54,-21,13,-100,-19,-97,-100,-5,-55,58,100,-100
2020-04-22,-100,-59,-100,24,100,-32,59,-68,-30,100,100,8,-100,96,-60,100,-74,15,1,-100,-92,55,-100,-11,-50,70,100,-94,75,68
2020-04-23,70,40,17,100,-100,11,100,58,-39,100,-100,-88,-100,-6,-27,78,-100,80,-63,-94,100,6,-52,100,35,69,-75,45,-40,-69
2020-04-24,39,56,100,83,84,-100,-100,18,79,58,0,-5,9,-90,-31,28,8,-56,8,5,56,29,-40,-52,100,-100,53,-45,91,34
2020-04-27,74,61,-52,4,94,-24,48,100,-52,5,0,25,57,0,0,35,22,-100,-14,-62,100,-34,100,100,32,-54,90,16,-57,-91
2020-04-28,55,76,-98,83,-94,-100,-41,37,-36,-54,100,14,-52,0,0,59,-100,-18,28,15,10,-53,-89,-80,-100,-15,80,-16,16,100
2020-04-29,100,100,-31,2,-85,-19,-53,-35,-90,-100,-51,-39,-62,0,0,84,-13,-100,-100,-100,96,-100,-72,100,100,0,-85,0,38,-38
2020-05-04,100,100,55,-100,51,69,100,-85,-100,-100,-49,41,96,0,100,38,67,-100,100,100,-100,-87,100,-1,0,0,-100,0,47,-66
2020-05-05,86,100,-86,-100,72,3,60,6,-61,-100,44,-41,50,0,100,-46,-3,-85,-57,-75,-20,-100,-100,55,-34,100,100,0,-99,-58
2020-05-06,38,-97,75,4,43,68,7,32,27,-31,100,66,100,54,94,44,100,100,-100,100,29,-100,-43,-74,5,-9,-98,53,-12,-17
2020-05-07,-100,59,-89,-20,100,-92,-100,-38,-1,100,-100,94,24,-5,83,100,100,-32,14,100,98,100,-78,100,-100,-91,31,-53,-100,0
2020-05-08,67,76,-91,89,84,-59,100,-78,100,100,27,-28,-8,58,-32,100,100,-89,-33,71,22,55,100,-83,68,0,43,0,-65,33
2020-05-11,94,-61,54,100,46,45,8,-34,86,-1,-6,81,-14,-5,-70,78,100,22,-100,100,100,100,5,53,-25,11,-36,78,-100,87
2020-05-12,-100,95,-10,-74,-74,-14,-33,76,-26,82,-65,33,29,-57,-80,-40,-35,100,98,100,-19,23,-63,-100,-100,100,100,-56,80,100
2020-05-13,1,75,-42,-100,-5,-49,17,37,0,100,65,100,92,35,100,-38,19,80,-100,100,100,12,-100,19,55,100,100,-22,100,-2
2020-05-14,-47,17,100,100,44,0,-12,25,-30,0,-65,-19,100,-80,-100,28,100,-17,-100,37,70,-27,-25,-100,1,54,-95,0,100,-56
2020-05-15,100,100,57,-100,100,0,-91,-100,-90,-100,0,-77,32,31,44,25,-61,-2,1,1,100,18,4,-100,18,100,-46,0,-59,59
2020-05-18,14,100,25,4,-35,92,100,100,-9,91,0,68,14,100,44,-34,48,100,-57,-39,-85,-100,-40,20,-15,72,-100,0,-24,100
2020-05-19,28,100,55,-4,100,100,100,-100,8,-23,98,64,85,100,-56,-22,-100,-100,28,74,100,-46,0,-100,-100,100,-14,0,62,34
2020-05-20,15,48,-2,-100,-35,100,100,61,100,88,14,-96,-33,66,100,-84,-42,-41,58,72,27,-100,72,87,-60,100,-100,0,-61,49
2020-05-21,-31,-13,100,100,-11,66,100,22,-71,28,-100,-100,-100,96,-38,-100,-16,10,16,15,-100,100,-72,-68,4,74,18,0,-100,-55
2020-05-22,100,100,69,-74,100,81,-8,99,100,31,-9,-64,-13,100,-37,100,-65,100,100,100,11,97,55,-100,-4,-100,-86,0,68,3
2020-05-25,-29,100,57,-4,-36,-100,-47,59,92,-24,100,-54,100,100,39,-89,-73,76,42,69,-20,-37,-55,50,0,100,100,0,37,100
2020-05-26,-65,-66,-76,68,32,27,-15,-100,-89,-78,-48,-30,-40,-38,-3,-75,8,100,-89,-12,100,-66,0,-65,100,-100,-100,0,37,-13
2020-05-27,72,-82,89,-100,100,72,100,-60,-100,-76,-55,60,-2,72,11,74,-100,-100,83,50,59,69,0,100,-100,-69,0,0,40,-96
2020-05-28,100,67,-79,-35,-35,100,100,-95,-15,100,0,100,0,-24,-76,100,100,43,-11,-100,-100,39,100,-100,0,100,0,0,-100,34
2020-05-29,-100,100,99,0,63,18,-100,50,-83,-100,100,66,26,-98,-61,1,22,-100,79,0,46,-12,42,62,44,100,100,71,-13,100
2020-06-01,-17,-29,57,51,-100,30,76,-83,-100,-43,100,-81,-100,-62,100,9,86,7,68,-100,44,-89,14,14,100,10,-100,-4,67,59
2020-06-02,100,61,-71,-9,100,21,16,-46,100,-51,-100,100,100,-2,-100,100,12,-29,-100,-100,-70,-100,100,-55,-81,23,0,100,-55,7
2020-06-03,-82,-25,13,89,8,11,-12,31,7,83,100,-68,100,100,51,62,67,100,-68,13,-63,-100,-16,-100,8,-6,0,-86,-100,100
2020-06-04,100,-50,-82,38,46,-100,100,82,-100,-16,70,-5,52,-52,-10,-78,100,14,7,100,100,-41,100,64,-2,-37,0,-23,50,-36
2020-06-05,-99,-100,39,-50,70,-100,12,57,-94,100,4,-18,-5,92,-91,-41,53,100,-57,-40,-26,-15,-57,23,-58,78,0,100,-32,4
2020-06-08,28,-94,-100,-90,-44,-100,3,-43,-41,56,-100,68,-3,-100,-100,-15,-68,-47,33,100,-58,85,21,-34,-11,-46,0,-70,-33,40
2020-06-09,100,-65,-100,36,-45,65,35,72,18,-76,78,-97,-100,-100,72,-11,55,-53,-35,85,-100,67,86,92,46,100,0,-18,100,-55
2020-06-10,-4,-29,-73,77,-39,100,34,-37,-38,-32,100,-98,-26,-95,-84,15,-31,100,100,100,8,-100,-81,-96,-46,100,0,71,32,-51
2020-06-11,-100,-15,-46,-29,12,11,92,-100,0,-100,100,34,-100,31,0,-100,-100,-98,-100,-75,-70,51,100,100,0,100,62,99,-85,100
2020-06-12,-852,-1131,-219,-113,-864,-494,-1198,-210,0,-421,-452,-99,-456,-317,0,-663,-477,-1005,-463,-1272,-742,-103,-409,-278,0,-1064,-62,-240,-639,-645
2020-06-15,0,0,99,0,0,0,100,79,0,100,0,100,100,3,0,0,100,100,0,28,100,27,0,100,0,100,0,9,69,0
2020-06-16,100,69,1,0,100,0,100,-79,0,-21,0,-91,-100,-3,70,9,-45,100,88,100,-100,21,0,-100,0,100,0,92,100,69
2020-06-17,-100,-69,100,73,3,27,100,0,0,73,0,-9,0,3,-41,100,65,-25,-88,100,38,-21,0,0,0,100,45,-29,-58,52
2020-06-18,0,53,20,100,-100,-27,-100,100,13,-100,0,100,0,30,-29,34,-60,81,0,-8,-38,39,0,52,38,-17,100,55,-6,-38
2020-06-19,0,50,-100,35,100,64,-61,-100,-13,78,92,100,0,28,0,-100,-15,100,0,50,0,54,0,-1,60,100,100,17,100,99
2020-06-22,0,-71,74,100,60,-64,-4,0,86,-78,81,-12,0,22,0,-15,-45,28,0,100,0,32,39,45,23,32,-100,87,100,-100
2020-06-23,100,-32,69,-84,11,2,-100,100,60,100,-100,33,100,-83,0,-28,0,98,72,-37,15,21,-33,10,100,-12,-100,-100,69,41
2020-06-24,100,0,-13,-11,26,-2,29,-47,69,34,100,39,-100,84,54,100,0,51,-72,100,-15,-100,-6,45,-15,-1,12,-46,-54,64
2020-06-25,100,0,-100,20,100,50,100,-53,100,-100,-100,-43,0,-84,45,91,100,100,0,-26,0,100,0,100,-2,67,100,-85,57,-35
2020-06-26,-100,100,-66,38,-9,14,-23,0,68,-15,-11,79,64,0,100,-6,100,100,100,78,0,50,0,-73,-100,100,100,100,100,-100
2020-06-29,-100,-68,82,-34,58,-25,0,100,0,-71,100,39,24,0,-96,46,79,-71,100,-35,82,9,0,-28,-2,-71,-100,16,-100,100
2020-06-30,-11,5,-55,100,-93,57,-100,6,-100,0,100,-100,11,0,-100,-100,-49,46,100,-36,-1,69,0,2,-45,-21,100,100,21,100
2020-07-01,10,100,55,-28,100,36,57,-91,-100,100,79,-19,100,7,-3,82,63,30,29,100,12,-100,0,58,80,100,36,-100,-100,40
2020-07-02,-99,0,20,100,12,-100,40,57,-8,0,-37,40,-93,-7,37,100,100,-73,-66,-14,26,100,100,100,-83,-41,-29,32,-65,-66
2020-07-03,38,-100,-41,16,50,-32,-26,62,-99,-96,83,78,-3,0,57,100,69,-38,-51,-60,56,-100,85,10,100,-28,-100,-100,53,40
2020-07-06,100,26,41,1,100,0,-100,41,-76,-4,100,14,-100,0,-94,100,-98,-30,-79,67,3,-100,97,100,97,-100,-26,100,-100,44
2020-07-07,-62,-63,100,-100,-67,86,6,-9,0,0,-91,100,18,0,0,-100,-1,25,89,-6,-100,-100,72,-100,-78,-94,24,100,-4,100
2020-07-08,-16,100,27,-70,-73,33,41,25,0,100,65,95,100,0,60,-100,100,-25,35,-61,91,-1,-100,-63,100,100,100,-30,-82,3
